# time pixelation values
# data save on: 2024-05-14T14:20:45-03:00
equator	age	stage-pixel	value
180	0	2589	109
180	0	2590	109
180	0	2591	109
180	0	2592	109
180	0	2594	109
180	0	2595	109
180	0	2596	109
180	0	2597	109
180	0	2598	109
180	0	2599	109
180	0	2600	109
180	0	2601	109
180	0	2604	110
180	0	2605	110
180	0	2606	109
180	0	2607	109
180	0	2608	109
180	0	2609	109
180	0	2610	109
180	0	2611	109
180	0	2612	104
180	0	2613	104
180	0	2614	104
180	0	2615	104
180	0	2616	104
180	0	2617	104
180	0	2618	104
180	0	2619	104
180	0	2620	104
180	0	2621	104
180	0	2622	101
180	0	2623	105
180	0	2624	105
180	0	2625	105
180	0	2626	105
180	0	2627	105
180	0	2628	105
180	0	2629	105
180	0	2630	105
180	0	2631	105
180	0	2632	105
180	0	2633	105
180	0	2688	107
180	0	2690	107
180	0	2691	104
180	0	2692	104
180	0	2693	104
180	0	2694	107
180	0	2695	107
180	0	2702	107
180	0	2733	109
180	0	2734	109
180	0	2735	109
180	0	2736	109
180	0	2737	109
180	0	2738	109
180	0	2739	109
180	0	2740	109
180	0	2741	109
180	0	2742	109
180	0	2743	109
180	0	2744	109
180	0	2745	109
180	0	2746	109
180	0	2747	109
180	0	2748	109
180	0	2749	109
180	0	2750	109
180	0	2751	109
180	0	2752	109
180	0	2753	109
180	0	2754	109
180	0	2755	109
180	0	2756	109
180	0	2757	109
180	0	2758	109
180	0	2759	109
180	0	2761	110
180	0	2762	110
180	0	2763	109
180	0	2764	109
180	0	2765	109
180	0	2766	109
180	0	2767	109
180	0	2768	109
180	0	2769	109
180	0	2770	104
180	0	2771	104
180	0	2772	104
180	0	2773	104
180	0	2774	104
180	0	2775	104
180	0	2776	104
180	0	2777	104
180	0	2778	104
180	0	2779	104
180	0	2780	101
180	0	2781	105
180	0	2782	105
180	0	2783	105
180	0	2784	105
180	0	2785	105
180	0	2786	105
180	0	2787	105
180	0	2788	105
180	0	2789	105
180	0	2790	105
180	0	2791	105
180	0	2849	107
180	0	2850	107
180	0	2851	107
180	0	2852	107
180	0	2853	107
180	0	2854	107
180	0	2855	107
180	0	2893	109
180	0	2894	109
180	0	2895	109
180	0	2896	109
180	0	2897	109
180	0	2898	109
180	0	2899	109
180	0	2900	109
180	0	2901	109
180	0	2902	109
180	0	2903	109
180	0	2904	109
180	0	2905	109
180	0	2906	109
180	0	2907	109
180	0	2908	109
180	0	2909	109
180	0	2910	109
180	0	2911	109
180	0	2912	109
180	0	2913	109
180	0	2914	109
180	0	2916	109
180	0	2917	109
180	0	2918	109
180	0	2919	109
180	0	2920	109
180	0	2921	109
180	0	2926	109
180	0	2927	109
180	0	2928	109
180	0	2929	109
180	0	2930	109
180	0	2931	110
180	0	2932	110
180	0	2933	110
180	0	2934	110
180	0	2935	104
180	0	2936	104
180	0	2937	104
180	0	2938	104
180	0	2939	104
180	0	2940	104
180	0	2941	107
180	0	2942	107
180	0	2943	108
180	0	2944	108
180	0	2945	105
180	0	2946	105
180	0	2947	105
180	0	2948	105
180	0	2949	105
180	0	2950	105
180	0	2951	105
180	0	2952	105
180	0	3014	107
180	0	3015	107
180	0	3016	107
180	0	3017	107
180	0	3055	109
180	0	3056	109
180	0	3057	109
180	0	3058	109
180	0	3059	109
180	0	3060	109
180	0	3061	109
180	0	3062	109
180	0	3063	109
180	0	3064	109
180	0	3065	109
180	0	3066	109
180	0	3067	109
180	0	3068	109
180	0	3069	109
180	0	3070	109
180	0	3071	109
180	0	3072	109
180	0	3073	109
180	0	3074	109
180	0	3075	109
180	0	3076	109
180	0	3077	109
180	0	3080	109
180	0	3081	109
180	0	3082	109
180	0	3083	109
180	0	3084	109
180	0	3085	109
180	0	3086	109
180	0	3087	109
180	0	3093	109
180	0	3094	109
180	0	3095	110
180	0	3096	110
180	0	3097	110
180	0	3098	104
180	0	3099	104
180	0	3100	104
180	0	3101	104
180	0	3102	107
180	0	3103	107
180	0	3104	107
180	0	3105	107
180	0	3106	107
180	0	3107	107
180	0	3108	105
180	0	3109	105
180	0	3110	105
180	0	3111	105
180	0	3112	105
180	0	3113	105
180	0	3114	105
180	0	3115	105
180	0	3179	107
180	0	3180	107
180	0	3181	107
180	0	3182	110
180	0	3191	110
180	0	3221	109
180	0	3222	109
180	0	3223	109
180	0	3224	109
180	0	3225	109
180	0	3226	109
180	0	3227	109
180	0	3228	109
180	0	3229	109
180	0	3230	109
180	0	3231	109
180	0	3232	109
180	0	3233	109
180	0	3234	109
180	0	3235	109
180	0	3236	109
180	0	3237	109
180	0	3238	109
180	0	3239	109
180	0	3240	109
180	0	3241	109
180	0	3242	109
180	0	3243	109
